,STATION_NO,COMMUNITY_NAME,STATION_NAME,LAT_STATION,LON_STATION,ROUTE,geometry
0,E07,Expo Station,Expo Station,24.9633681281314,55.1462011570333,Expo,POINT (55.1462011570333 24.9633681281314)
1,G11,AL QUSAIS THIRD,Etisalat,25.2548051022099,55.40100711209,Green,POINT (55.40100711209 25.2548051022099)
2,G12,AL QUSAIS SECOND,Al Qusais,25.2626590142929,55.3874763359065,Green,POINT (55.3874763359065 25.2626590142929)
3,G13,AL QUSAIS FIRST,Dubai Airport Free Zone,25.2699287218477,55.3750092539013,Green,POINT (55.3750092539013 25.2699287218477)
4,G14,AL QUSAIS FIRST,Al Nahda,25.2732735196383,55.3693408984036,Green,POINT (55.3693408984036 25.2732735196383)
5,G15,AL QUSAIS FIRST,Stadium,25.277802143602,55.3615799355075,Green,POINT (55.3615799355075 25.277802143602)
6,G16,AL TWAR FIRST,Al Qiyadah,25.2776673588803,55.3527646281248,Green,POINT (55.3527646281248 25.2776673588803)
7,G17,AL KHABAISI,Abu Hail,25.2752415852442,55.3462675881381,Green,POINT (55.3462675881381 25.2752415852442)
8,G18,AL KHABAISI,Abu Baker Al Siddique,25.270903837356,55.332983016961,Green,POINT (55.332983016961 25.270903837356)
9,G19,AL KHABAISI,Salah Al Din,25.2703452035284,55.3206686042492,Green,POINT (55.3206686042492 25.2703452035284)
10,G20,AL RIGGA,Union,25.2663356204958,55.3139027888538,Green,POINT (55.3139027888538 25.2663356204958)
11,G21,AL RIGGA,Baniyas Square,25.2694158776917,55.307602065776,Green,POINT (55.307602065776 25.2694158776917)
12,G22,,Gold Souq,25.276195589844,55.3017779183856,Green,POINT (55.3017779183856 25.276195589844)
13,G23,AL RAS,Al Ras,25.2688622375564,55.2937277078745,Green,POINT (55.2937277078745 25.2688622375564)
14,G24,AL SOUQ AL KABEER,Al Ghubaiba,25.2650853837246,55.2889535222212,Green,POINT (55.2889535222212 25.2650853837246)
15,G25,MANKHOOL,Al Fahidi,25.2583014052076,55.2975589941484,Green,POINT (55.2975589941484 25.2583014052076)
16,G26,AL KARAMA,BurJuman,25.2548557351733,55.3042525286521,Green,POINT (55.3042525286521 25.2548557351733)
17,G27,OUD METHA,Oud Metha,25.2436671638229,55.3159566453886,Green,POINT (55.3159566453886 25.2436671638229)
18,G28,UMM HURAIR SECOND,Dubai Health Care,25.2309030025053,55.3228668688791,Green,POINT (55.3228668688791 25.2309030025053)
19,G29,AL JADAF,Al Jadaf,25.2249775722996,55.3336743465696,Green,POINT (55.3336743465696 25.2249775722996)
20,G30,AL JADAF,Creek,25.2189489282659,55.3389528013223,Green,POINT (55.3389528013223 25.2189489282659)
21,R11,AL RASHIDIYA,Rashidiya,25.2302229156378,55.3911980581609,Red,POINT (55.3911980581609 25.2302229156378)
22,R12,AL GARHOUD,Emirates,25.2410593743391,55.3657269700301,Red,POINT (55.3657269700301 25.2410593743391)
23,R13,DUBAI INT'L AIRPORT,Airport Terminal 3,25.2450126641517,55.3595259814417,Red,POINT (55.3595259814417 25.2450126641517)
24,R14,DUBAI INT'L AIRPORT,Airport Terminal 1,25.2484279923512,55.3524744810233,Red,POINT (55.3524744810233 25.2484279923512)
25,R15,AL GARHOUD,GGICO,25.2494971229491,55.3400337670553,Red,POINT (55.3400337670553 25.2494971229491)
26,R16,PORT SAEED,Deira City Centre,25.2543036508254,55.3300770562596,Red,POINT (55.3300770562596 25.2543036508254)
27,R17,AL MURAQQABAT,Al Rigga,25.2632611406868,55.3241228689007,Red,POINT (55.3241228689007 25.2632611406868)
28,R18,AL RIGGA,Union,25.2663356204958,55.3139027888538,Red,POINT (55.3139027888538 25.2663356204958)
29,R19,AL KARAMA,BurJuman,25.2548557351733,55.3042525286521,Red,POINT (55.3042525286521 25.2548557351733)
30,R20,AL KARAMA,Abu Dhabi Commercial Bank,25.244493559729,55.2981959865435,Red,POINT (55.2981959865435 25.244493559729)
31,R21,AL KIFAF,Al Jafiliya,25.2334968432833,55.2921315806077,Red,POINT (55.2921315806077 25.2334968432833)
32,R22,TRADE CENTER SECOND,World Trade Centre,25.2248288751576,55.2850609836391,Red,POINT (55.2850609836391 25.2248288751576)
33,R23,TRADE CENTER SECOND,Emirates Towers,25.2172144667154,55.2798209721383,Red,POINT (55.2798209721383 25.2172144667154)
34,R24,TRADE CENTER SECOND,Financial Centre,25.2110301680928,55.2755866549779,Red,POINT (55.2755866549779 25.2110301680928)
35,R25,,Burj Khalifa / Dubai Mall,25.2014008833475,55.2695181659011,Red,POINT (55.2695181659011 25.2014008833475)
36,R26,,Business Bay,25.1912745797504,55.2604185581496,Red,POINT (55.2604185581496 25.1912745797504)
37,R29,AL QUOZ IND. FIRST,Noor Bank,25.155727126446,55.2285087216715,Red,POINT (55.2285087216715 25.155727126446)
38,R31,AL QUOZ IND. THIRD,FGB,25.126721479885,55.2078980008681,Red,POINT (55.2078980008681 25.126721479885)
39,R32,AL QUOZ IND. THIRD,Mall of the Emirates,25.1212312705607,55.2004431935454,Red,POINT (55.2004431935454 25.1212312705607)
40,R33,AL BARSHA FIRST,Mashreq,25.1148094971836,55.1909310963335,Red,POINT (55.1909310963335 25.1148094971836)
41,R34,EMIRATES HILL SECOND,Dubai Internet City,25.1020954963727,55.1737814679061,Red,POINT (55.1737814679061 25.1020954963727)
42,R35,EMIRATES HILL SECOND,Nakheel,25.0889168895102,55.1580262856936,Red,POINT (55.1580262856936 25.0889168895102)
43,R36,EMIRATES HILL FIRST,DAMAC,25.0799290793588,55.1475227139943,Red,POINT (55.1475227139943 25.0799290793588)
44,R37,EMIRATES HILL FIRST,DMCC,25.0708243451254,55.1386726700319,Red,POINT (55.1386726700319 25.0708243451254)
45,R38,,Jabal Ali,25.0578530685375,55.1271734502593,Red,POINT (55.1271734502593 25.0578530685375)
46,R39,,Ibn Battuta,25.0467258556195,55.1175279089437,Red,POINT (55.1175279089437 25.0467258556195)
47,R40,,Energy,25.0262906333183,55.1012474381103,Red,POINT (55.1012474381103 25.0262906333183)
48,R41,JEBEL ALI IND.,Danube,25.0012910551669,55.0956978985296,Red,POINT (55.0956978985296 25.0012910551669)
49,R42,,UAE Exchange,24.9775243243821,55.0910408906582,Red,POINT (55.0910408906582 24.9775243243821)
50,R70,,Station R70,25.0434380845794,55.1350507954733,Red,POINT (55.1350507954733 25.0434380845794)
51,R71,,Stations R71,25.0352240803185,55.1453181683779,Red,POINT (55.1453181683779 25.0352240803185)
52,R72,,Stations R72,25.0304517839174,55.1521941561783,Red,POINT (55.1521941561783 25.0304517839174)
53,R73,,Station R73,25.0177968142054,55.1633514038594,Red,POINT (55.1633514038594 25.0177968142054)
54,R74,,Station R74,25.0057961665976,55.1558410655273,Red,POINT (55.1558410655273 25.0057961665976)
55,R75,,Station R75,24.9840139598227,55.1491355013711,Red,POINT (55.1491355013711 24.9840139598227)
0,2612,NAKHLAT JABAL ALI,7 Up Staff Accommodation 1,25.0,55.0,84,POINT (55 25)
2,3228,NAKHLAT JABAL ALI,7 Up Staff Accommodation 2,25.0,55.0,84,POINT (55 25)
6,3445,NAKHLAT JABAL ALI,8 Boulevard Walk Tower 1,25.0,55.0,26,POINT (55 25)
8,2717,NAKHLAT JABAL ALI,9th Street,25.0,55.0,F70,POINT (55 25)
9,2505,NAKHLAT JABAL ALI,Abdallah Mleih Masjid,25.0,55.0,8,POINT (55 25)
13,2546,NAKHLAT JABAL ALI,Abdulla Omran Taryam Street 1,25.0,55.0,83,POINT (55 25)
16,4377,NAKHLAT JABAL ALI,Abdulla Omran Taryam Street 2,25.0,55.0,83,POINT (55 25)
17,4198,NAKHLAT JABAL ALI,Abu Baker Al Siddique Metro Station 1,25.0,55.0,13,POINT (55 25)
21,4204,NAKHLAT JABAL ALI,Abu Baker Al Siddique Metro Station 2,25.0,55.0,13,POINT (55 25)
25,1686,NAKHLAT JABAL ALI,Abu Baker Al Siddique Road 1,25.0,55.0,23,POINT (55 25)
28,1726,NAKHLAT JABAL ALI,Abu Baker Al Siddique Road 2,25.0,55.0,23,POINT (55 25)
33,1723,NAKHLAT JABAL ALI,Abu Hail 1,25.0,55.0,C03,POINT (55 25)
35,1689,NAKHLAT JABAL ALI,Abu Hail 2,25.0,55.0,C03,POINT (55 25)
37,1516,NAKHLAT JABAL ALI,Abu Hail Center 1,25.0,55.0,13B,POINT (55 25)
39,1495,NAKHLAT JABAL ALI,Abu Hail Center 2,25.0,55.0,13B,POINT (55 25)
